k,l = 6,2

0,68.96946095410796,60.68070509267406
1,64.09854005787469,56.20944519930102
2,62.51684746558158,54.62277449009028
3,61.53296585368034,53.49652973441191
4,60.90021264538223,53.699887375498946
5,60.41811653982813,52.50971056694208
6,60.083715854516555,52.365825808325454
7,59.8193762934817,51.92313864064773
8,59.53879784646987,52.48214170544645
9,59.291320672516186,52.74760576736089
10,59.1106653035355,51.62676000595095
0,69.11380056663894,60.352409972700976
1,64.19574271519187,59.738113780354375
2,62.6537213497708,54.6320658617241
3,61.68718300483292,53.40724928434504
4,61.1112516742863,52.52827402602791
5,60.699807077980296,52.97033509542777
6,60.23667389429077,52.680800826050486
7,59.90650464410651,52.002429629481135
8,59.686895558130324,56.596424014069335
9,59.44009213667286,51.147342471189276
10,59.29065567529662,50.77392064693366
11,59.03765466768452,51.447120444719154
12,58.93496586287749,54.525201132131244
13,58.75221957899117,50.48552947266159
14,58.56360071355651,49.96236761780669
15,58.416359123524536,51.03595560650496
16,58.41065140530598,49.928742003995346
17,58.230664577460395,49.78250224645749
18,58.12399152800863,49.407866533412495
19,58.005902163266796,48.99750889733779
20,57.94401636753102,49.287745486858256
21,57.81353822472986,49.69505323365683
22,57.72224789687142,49.29002482392067
23,57.663335351243276,48.48308483944386
24,57.515351424923814,50.61441476954968
25,57.477998047065036,48.7226796538331
26,57.431903245291686,48.94948116014168
27,57.315401640211554,49.090863699136776
28,57.32156017203712,48.294833571411836
29,57.208636786245826,48.41718703646993
30,57.20265259511144,48.9128026574157
31,57.0572234185814,49.458652989808904
32,56.88801325302793,48.22387056018029
33,56.939592387578315,48.899162907933096
34,56.893681565376134,47.94528019151021
35,56.84231108003953,49.14631260273069
36,56.701328999672526,47.915174633957655
37,56.66925419846623,47.790764104488275
38,56.65167650101642,48.501377105712855
39,56.59158232084401,47.865217513816276
40,56.55782246381825,47.730791247168284
41,56.42493331358113,47.68567621430686
42,56.420728823613096,48.07910669681638
43,56.3188327846313,48.52440224137414
44,56.28592747442459,47.33821731389954
45,56.18073603818896,48.270188902699644
46,56.17366586972594,47.94151079931926
47,56.20965834127115,48.92276360267813
48,56.02528507237417,48.386811334033325
49,56.042904907264614,47.57134415937024
50,56.017685820127035,47.06952936704767
51,55.91579528941613,48.51663020599722
52,55.77030859789249,47.64887683890587
53,55.78379571898043,47.77482583910924
54,55.807833081313106,47.42438640705377
55,55.60756426819528,47.396903370702
56,55.525913328786,47.433610040088034
57,55.62136320159262,47.05247821918758
58,55.48529936813036,46.99303646420323
59,55.57556381795647,47.09351814624876
60,55.35895268023382,46.971674475558956
61,55.38059156710012,47.431609264639924
62,55.38868780836819,46.81526085942293
63,55.310357988103355,46.76535492719608
64,55.228768178861394,47.59502241223359
65,55.28960253381784,47.128228642219696
66,55.27811868936009,46.570407994957854
67,55.05538763233915,46.5372854831607
68,55.06566040780147,46.66414223160857
69,55.06667961605157,46.64056396484376
70,55.05805468529576,46.818661473518205
71,55.052297076727655,46.59959788655129
72,54.977506706456296,46.7671243811762
73,54.86981859599076,46.72135390791786
74,54.909519266815,46.570610173912925
75,54.8542301966571,47.41590173854383
76,54.822401894727385,46.86588052816168
77,54.84963471922157,46.15698740094209
78,54.73922854906894,46.6823758080948
79,54.75311680243886,46.429427662561075
80,54.63906927809476,47.20104867913004
81,54.14649665518987,46.34838872177657
82,54.00766561277775,46.179698223291474
83,53.963025597825265,45.99047014325161
84,53.81448950476554,46.10265582661297
85,53.91818813547251,45.96713914427645
86,53.75643891920036,46.204543091530056
87,53.850535044782895,46.191637122353804
88,53.76321636784272,46.008222563322214
89,53.73035091955961,46.06842014955919
90,53.722678601370674,46.254413771074844
91,53.708590829357476,46.03964998001276
92,53.674264919713266,46.01776512279066
93,53.64599630752504,46.2612112788267
94,53.68845135129409,46.176857598992285
95,53.62951183200331,46.304185673247964
96,53.739497321331946,46.17902619339699
97,53.70367068223007,46.3688333588977
98,53.57511109937624,46.27144366086916
99,53.69028461499049,46.42881586385335

